s	free_energy
exonF	0.56
exonF	6.53
exonF	13.31
exonF	14.82
exonF	2.88
exonF	22.37
exonF	6.72
exonF	16.70
exonF	18.39
exonF	15.40
exonF	18.40
exonF	21.30
exonF	1.10
exonF	7.50
exonF	3.04
exonF	17.30
exonF	10.66
exonF	16.50
exonF	26.60
exonF	22.45
exonF	1.75
exonF	10.93
exonF	2.60
exonF	9.72
exonF	10.73
exonF	2.37
exonF	1.56
exonF	6.73
exonF	10.48
exonF	28.89
exonF	5.58
exonF	15.91
exonF	15.96
exonF	17.49
exonF	2.23
exonF	7.25
exonF	16.28
exonF	16.18
exonF	6.84
exonF	14.30
exonF	16.37
exonF	15.91
exonF	4.40
exonF	13.90
exonF	15.01
exonF	8.90
exonF	24.67
exonF	20.48
exonF	19.50
exonF	3.10
exonF	7.40
exonF	13.76
exonF	17.74
exonF	2.00
exonF	4.00
exonF	4.41
exonF	10.10
exonF	22.63
exonF	23.69
exonF	2.50
exonF	6.31
exonF	1.75
exonF	5.42
exonF	2.62
exonF	0.82
exonF	4.14
exonF	3.60
exonF	6.70
exonF	10.90
exonF	11.99
exonF	21.04
exonF	3.98
exonF	5.71
exonF	1.34
exonF	16.11
exonF	24.32
exonF	31.62
exonF	2.87
exonF	1.00
exonF	2.90
exonF	5.10
exonF	7.51
exonF	10.02
exonF	16.32
exonF	15.31
exonF	3.83
exonF	12.07
exonF	5.65
exonF	30.91
exonF	0.03
exonF	28.50
exonF	29.13
exonF	31.66
exonF	6.75
exonF	3.61
exonF	11.30
exonF	5.67
exonF	8.70
exonF	2.33
exonF	19.99
exonF	24.76
exonF	21.43
exonF	43.13
exonF	43.28
exonF	1.46
exonF	6.54
exonF	18.55
exonF	4.90
exonF	29.81
exonF	16.25
exonF	31.05
exonF	23.88
exonF	21.91
exonF	11.93
exonF	8.04
exonF	14.69
exonF	20.62
exonF	28.23
exonF	18.14
exonF	4.10
exonF	25.50
exonR	4.92
exonR	6.29
exonR	7.57
exonR	7.80
exonR	18.79
exonR	17.78
exonR	28.32
exonR	36.33
exonR	25.62
exonR	7.07
exonR	16.47
exonR	17.98
exonR	2.60
exonR	4.10
exonR	11.10
exonR	23.94
exonR	26.35
exonR	23.29
exonR	10.14
exonR	30.04
exonR	29.24
exonR	2.70
exonR	32.75
exonR	17.10
exonR	3.23
exonR	13.02
exonR	41.16
exonR	2.33
exonR	13.72
exonR	13.76
exonR	20.57
exonR	15.93
exonR	17.70
exonR	25.46
exonR	8.51
exonR	17.18
exonR	25.96
exonR	24.70
exonR	1.33
