chromosome	start	end	name	score
scaffold_488	2242	11086	fgenesh1_pg.scaffold_488000001	0
scaffold_488	12585	15129	fgenesh1_pg.scaffold_488000002	0
scaffold_488	20781	22246	fgenesh1_pg.scaffold_488000004	0
scaffold_488	23029	23796	fgenesh1_pg.scaffold_488000005	0
scaffold_488	24470	24811	e_gw.488.12.1	0
scaffold_488	46454	76250	e_gw.488.2.1	0
scaffold_488	82528	91216	estExt_fgenesh1_pg.C_4880012	0
scaffold_488	91948	97358	estExt_fgenesh1_pg.C_4880013	0
scaffold_488	103297	103770	e_gw.488.8.1	0
scaffold_488	104127	104741	gw.488.5.1	0
scaffold_488	116205	120888	estExt_fgenesh1_pg.C_4880015	0
scaffold_393	22	2642	e_gw.393.29.1	0
scaffold_393	11692	12834	e_gw.393.20.1	0
scaffold_393	14064	46661	e_gw.393.3.1	0
scaffold_393	54079	54729	gw.393.10.1	0
scaffold_393	57424	61208	fgenesh1_pg.scaffold_393000005	0
scaffold_393	64965	67061	fgenesh1_pg.scaffold_393000006	0
scaffold_393	70536	71003	gw.393.21.1	0
scaffold_393	77852	78721	e_gw.393.18.1	0
scaffold_393	80578	80866	e_gw.393.52.1	0
scaffold_393	84647	85156	e_gw.393.17.1	0
scaffold_393	86770	88404	gw.393.4.1	0
scaffold_393	96917	99197	fgsh_est.C_scaffold_393000001	0
scaffold_393	101897	102064	e_gw.393.54.1	0
scaffold_393	103574	104585	gw.393.45.1	0
scaffold_393	108970	115669	gw.393.43.1	0
scaffold_393	136605	137870	fgenesh1_pg.scaffold_393000012	0
scaffold_393	143843	146900	estExt_GenewiseH_1.C_3930059	0
scaffold_393	151648	152655	fgenesh1_pg.scaffold_393000014	0
scaffold_393	155743	166672	estExt_fgenesh1_pg.C_3930015	0
scaffold_393	171337	171533	gw.393.69.1	0
scaffold_393	173246	173479	e_gw.393.41.1	0
scaffold_388	6014	7319	fgenesh1_pg.scaffold_388000001	0
scaffold_388	96516	153724	estExt_GenewiseH_1.C_3880003	0
scaffold_388	154171	156210	gw.388.12.1	0
scaffold_388	160349	182023	estExt_gwp.C_3880008	0
scaffold_388	198971	199747	gw.388.10.1	0
scaffold_388	201816	205810	fgenesh1_pg.scaffold_388000010	0
scaffold_28	9797	12013	estExt_fgenesh1_pg.C_280002	0
scaffold_28	12975	13826	estExt_fgenesh1_pg.C_280003	0
scaffold_28	15011	18145	fgenesh1_pg.scaffold_28000004	0
scaffold_28	22091	25726	fgenesh1_pg.scaffold_28000005	0
scaffold_28	44876	49002	fgenesh1_pg.scaffold_28000006	0
scaffold_28	81090	83382	gw.28.228.1	0
scaffold_28	87367	97562	estExt_GenewiseH_1.C_280009	0
scaffold_28	103039	110360	estExt_fgenesh1_pg.C_280008	0
scaffold_28	111051	114680	fgsh_est.C_scaffold_28000002	0
scaffold_28	117410	122173	fgenesh1_pg.scaffold_28000010	0
scaffold_28	132518	132988	e_gw.28.80.1	0
scaffold_28	154268	175903	estExt_gwp.C_280021	0
scaffold_28	196022	196198	e_gw.28.14.1	0
scaffold_28	199920	206201	e_gw.28.3.1	0
scaffold_28	210475	217460	estExt_fgenesh1_pg.C_280016	0
scaffold_28	217730	224733	e_gw.28.51.1	0
scaffold_28	226953	238857	e_gw.28.219.1	0
scaffold_28	244150	244380	e_gw.28.263.1	0
