groupId	protId	protCount	functId	desc
ENOG410WBPA	ENSP00000471728	2	S	NA
ENOG410WC03	ENSP00000450404	2	S	NA
ENOG410WDX5	ENSP00000348848	2	Z	WD repeat domain 45
ENOG410WBVB	ENSP00000422430	2	S	NA
ENOG410VSKP	ENSP00000363412	2	O	GGL
ENOG410WC0G	ENSP00000471696	2	A	long intergenic non-protein coding RNA 528
ENOG410WBVI	ENSP00000469790	2	S	NA
ENOG410WBNK	ENSP00000449522	2	S	NA
ENOG410WBWA	ENSP00000469095	2	S	NA
ENOG410WBSJ	ENSP00000436682	2	O	age-related maculopathy susceptibility 2
ENOG410WBVQ	ENSP00000472738	2	S	NA
ENOG410WC23	ENSP00000471434	2	S	NA
ENOG410WBWT	ENSP00000351384	2	S	ankyrin repeat domain 36B pseudogene 1
ENOG410WBMX	ENSP00000473014	2	T	EGF_like
ENOG410WBMF	ENSP00000424860	2	S	NA
ENOG410WBYY	ENSP00000449101	2	S	NA
ENOG410WEUJ	ENSP00000389289	2	C	aldo-keto reductase family 1, member B15
ENOG410WBMU	ENSP00000428019	2	S	NA
ENOG410WC3N	ENSP00000472943	2	S	NA
ENOG410WC30	ENSP00000435481	2	S	NA
ENOG410WC5C	ENSP00000469038	2	S	NA
ENOG410WBK5	ENSP00000350295	2	K	zinc finger protein 816
ENOG410WBF9	ENSP00000460506	2	S	Keratin, high sulfur B2 protein
ENOG410WBSY	ENSP00000359525	2	O	Ubiquitin-conjugating enzyme
ENOG410WC1G	ENSP00000383520	2	Z	Tektin family
ENOG410WC5X	ENSP00000372278	2	W	NA
ENOG410WC18	ENSP00000469975	2	S	NA
ENOG410WBS7	ENSP00000472652	2	S	NA
ENOG410WEE3	ENSP00000448818	2	T	NA
ENOG410WC3V	ENSP00000307860	2	S	disrupted in renal carcinoma 1
ENOG410WBZ2	ENSP00000462754	2	C	Solute carrier family 25 member 52
ENOG410WBPB	ENSP00000250784	2	J	40S ribosomal protein S4, Y isoform 1
ENOG410WBMR	ENSP00000402825	2	L	family with sequence similarity 197, Y-linked, member 1
ENOG410WGUQ	ENSP00000244745	2	K	SRY (sex determining region Y)-box 4
ENOG410WG02	ENSP00000393114	2	T	allograft inflammatory factor 1
ENOG410WBUU	ENSP00000334998	2	P	Metallothioneins have a high content of cysteine residues that bind various heavy metals (By similarity)
ENOG410WBIV	ENSP00000385706	2	T	Immunoglobulin domain
ENOG410WC2D	ENSP00000435158	2	S	NA
ENOG410WBMP	ENSP00000433534	2	S	NA
ENOG410WC52	ENSP00000450062	2	S	NA
ENOG410WEDA	ENSP00000323686	2	S	NA
ENOG410WGBI	ENSP00000457100	2	S	NA
ENOG410WBRE	ENSP00000470212	2	S	NA
ENOG410WBHC	ENSP00000417330	2	Z	keratin associated protein 5-7
ENOG410VZZ1	ENSP00000467419	2	S	NA
ENOG410WG4Y	ENSP00000347883	2	Z	pleckstrin homology domain containing, family A member 7
