groupId	protId	protCount	functId	desc
ENOG410WE7F	ENSP00000382511	5	K	zinc finger protein 195
ENOG410WC34	ENSP00000385370	3	S	NA
ENOG410VCXX	ENSP00000321848	12	K	Zinc finger protein 671
ENOG410WJS4	ENSP00000331210	4	W	Brevican
ENOG410WBTU	ENSP00000358503	2	S	NA
ENOG410VJFY	ENSP00000306512	45	W	IL-8 is a chemotactic factor that attracts neutrophils, basophils, and T-cells, but not monocytes. It is also involved in neutrophil activation. It is released from several cell types in response to an inflammatory stimulus
ENOG410WFM9	ENSP00000322579	16	S	PHD finger protein 23
ENOG410WEKA	ENSP00000384439	5	S	NA
ENOG410WBMP	ENSP00000433534	2	S	NA
ENOG410VFYR	ENSP00000342008	20	T	olfactory receptor, family 2, subfamily T, member 27
ENOG410VX2I	ENSP00000349989	7	S	chromosome X open reading frame 24
ENOG410WBZH	ENSP00000365585	6	S	family with sequence similarity 182, member
ENOG410WBVG	ENSP00000319222	3	K	zinc finger protein 720
ENOG410WEZ9	ENSP00000367348	4	S	NA
ENOG410VTMN	ENSP00000351248	11	S	chromosome 16 open reading frame 47
ENOG410WC0R	ENSP00000364822	4	S	NA
ENOG410VPK7	ENSP00000319506	7	S	chromosome 1 open reading frame 220
ENOG410WEJF	ENSP00000375582	5	K	Zinc finger protein 552
ENOG410WC5E	ENSP00000363911	2	T	7 transmembrane receptor (rhodopsin family)
ENOG410VHUI	ENSP00000253233	69	J	Chromosome 12 open reading frame 65
ENOG410W1XG	ENSP00000424737	35	S	Protein of unknown function (DUF2439)
ENOG410WGB5	ENSP00000366326	19	Z	nebulette
ENOG410WBZ2	ENSP00000462754	2	C	Solute carrier family 25 member 52
ENOG410V60D	ENSP00000352425	46	Z	WAS protein family, member 1
ENOG410WBKD	ENSP00000327634	4	S	Protein of unknown function (DUF1725)
ENOG410VBSJ	ENSP00000270590	10	T	G protein-coupled receptor 32
ENOG410VAI9	ENSP00000342380	49	S	NA
ENOG410WEBD	ENSP00000368771	7	S	NA
ENOG410VAHF	ENSP00000271532	31	T	Fc receptor-like
ENOG410WBU5	ENSP00000450675	3	T	LIM and senescent cell
ENOG410WHFB	ENSP00000247706	24	S	Abhydrolase domain containing 8
ENOG410WC5R	ENSP00000386218	4	S	chromosome 16 open reading frame 3
ENOG410VGX3	ENSP00000369578	71	S	Interferon omega
ENOG410WFT8	ENSP00000237612	34	Q	ATP-binding cassette sub-family G (WHITE) member 2
ENOG410WJJF	ENSP00000341141	22	T	sialic acid binding Ig-like lectin 1, sialoadhesin
ENOG410WBJR	ENSP00000426781	2	S	NA
ENOG410WEPV	ENSP00000289448	7	S	NA
ENOG410VCD8	ENSP00000240651	71	S	pyridine nucleotide-disulphide oxidoreductase domain 1
ENOG410WIJZ	ENSP00000254579	13	Z	Dynein heavy chain domain 1
ENOG410WEWV	ENSP00000459668	7	O	proline rich 4 (lacrimal)
ENOG410WIJ1	ENSP00000275461	30	K	Fer3-like (Drosophila)
ENOG410WCFP	ENSP00000440911	3	S	NA
ENOG410WDFA	ENSP00000392147	23	DT	protein phosphatase 6, catalytic subunit
ENOG410VGYP	ENSP00000433816	10	S	tetraspanin 19
ENOG410WBPH	ENSP00000407048	3	S	NA
ENOG410WFQ7	ENSP00000258526	21	T	Plexin C1
ENOG410WEWX	ENSP00000386143	5	O	hepatocellular carcinoma, down-regulated 1
ENOG410V6WS	ENSP00000416558	12	S	F-box protein 24
ENOG410WF45	ENSP00000405682	5	S	NA
ENOG410WEHZ	ENSP00000462745	5	S	DDB1 and CUL4 associated factor 8-like 2
ENOG410WBHZ	ENSP00000393291	3	S	NA
ENOG410VXKC	ENSP00000452943	5	S	NA
ENOG410WBY0	ENSP00000412064	3	K	Proline rich 13
